Run_ID,Instance_blueprint,nb_train_batches,nb_batches_training_set,test_size,actor_lr,batch_size
run_14.9.2025_14258,MD_5,3000,1000,500,0.0001,256
run_14.9.2025_43157,MD_2,1000,200,2000,0.0001,256

run_17.9.2025_16354,MD_4,2500,500,2000,0.0001,256
run_26.9.2025_36419,ALTR_20,3000,1500,100,0.0001,256
run_26.9.2025_52665,ALTR_20,3000,200,100,0.0001,100
run_26.9.2025_19588,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_97118,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_98681,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_77686,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_43108,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_45225,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_87166,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_29110,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_49405,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_66505,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_72051,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_61757,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_46307,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_30514,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_81761,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_26061,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_39644,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_40113,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_17394,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_57464,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_94581,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_76934,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_95080,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_91949,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_67668,ALTR_20,3000,5,100,0.0001,100
run_26.9.2025_93971,ALTR_20,3000,5,100,0.0001,100
run_26.9.2025_78095,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_61637,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_24500,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_93749,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_61117,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_58601,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_68679,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_60987,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_20316,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_14710,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_74123,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_67007,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_70608,ALTR_20,3000,2,100,0.0001,100
run_26.9.2025_62660,ALTR_20,3000,2,100,0.0001,100
